Sensor_ID,Baseline_Resistance_Ohms
0,30229.68
1,38636.91
2,41920.75
3,41139.08
4,41397.01
5,41526.96
6,42320.58
7,42590.57
8,41788.82
9,41788.82
10,42658.5
11,41267.73
12,42455.23
13,41986.96
14,43698.91
15,42320.58
16,43983.32
17,44126.66
18,44561.25
19,45451.66
20,45754.95
21,46371.55
22,42387.82
23,47161.71
24,43698.91
25,44707.67
26,47565.14
27,45754.95
28,44054.89
29,45907.83
30,45002.86
31,48305.81
32,84035.92
33,43557.83
34,48641.14
35,46527.84
36,45831.29
37,45301.25
38,51284.3
39,64212.57
40,127787.46
41,55939.52
42,44854.87
43,44854.87
44,63810.02
45,109291.9
46,60132.29
47,60132.29
48,125056.52
49,127787.46
50,132592.78
51,129670.22
52,132592.78
53,134609.98
54,135640.13
55,135640.13
56,133594.3
57,135640.13
58,135640.13
59,137745.05
60,129670.22
61,136160.72
62,139364.05
63,133594.3
64,129670.22
65,134609.98
66,143283.25
67,138820.45
68,136685.03
69,143283.25
70,128722.46
71,142142.66
72,129670.22
73,133594.3
74,138820.45
75,132592.78
76,130631.02
77,135640.13
78,133091.78
79,137745.05
80,208912.44
81,130631.02
82,145026.52
83,139364.05
84,126864.97
85,142142.66
86,154372.98
87,176906.95
88,280371.47
89,154372.98
90,137745.05
91,137745.05
92,108256.51
93,142710.81
94,136685.03
95,136685.03
96,72958.16
97,73127.03
98,75745.02
99,77209.76
100,74678.3
101,74678.3
102,74854.26
103,76471.19
104,74854.26
105,75565.37
106,75745.02
107,77961.02
108,76106.58
109,76106.58
110,78533.01
111,75745.02
112,71959.17
113,77772.0
114,77961.02
115,76654.66
116,81508.11
117,83177.96
118,74154.84
119,83604.98
120,76838.91
121,78725.33
122,77583.78
123,81919.95
124,79896.98
125,77583.78
126,78725.33
127,85800.06
128,137745.05
129,82335.49
130,85575.93
131,82754.82
132,79896.98
133,80294.42
134,89051.75
135,106903.57
136,180386.63
137,78725.33
138,81919.95
139,81919.95
140,86251.47
141,141018.91
142,94098.91
143,94098.91
144,46138.74
145,47001.92
146,45907.83
147,46061.56
148,45678.82
149,46216.13
150,44854.87
151,45602.89
152,45984.59
153,45754.95
154,45907.83
155,44854.87
156,45602.89
157,46061.56
158,46216.13
159,44781.16
160,36105.25
161,45151.65
162,46061.56
163,42053.34
164,49151.41
165,48725.57
166,44561.25
167,50377.22
168,45602.89
169,47322.41
170,45754.95
171,48139.58
172,47322.41
173,46371.55
174,48139.58
175,52029.78
176,87631.56
177,48139.58
178,51935.61
179,50377.22
180,47728.11
181,48473.0
182,54378.94
183,65867.58
184,115134.95
185,51192.37
186,48473.0
187,48473.0
188,59416.6
189,97948.88
190,59416.6
191,59416.6
192,30309.35
193,30469.65
194,29488.15
195,29603.42
196,28884.52
197,29641.99
198,29449.88
199,29297.52
200,29071.17
201,28191.18
202,29411.68
203,29221.78
204,29449.88
205,29526.5
206,30229.68
207,29221.78
208,23366.42
209,29146.33
210,28996.3
211,21651.57
212,31416.58
213,32145.38
214,27010.09
215,32586.16
216,29603.42
217,31082.24
218,31928.39
219,31713.61
220,30712.49
221,30509.92
222,30999.5
223,34252.03
224,62114.86
225,30958.25
226,34012.93
227,33127.38
228,31458.76
229,31543.36
230,35949.24
231,44634.36
232,82965.91
233,36793.67
234,31458.76
235,31458.76
236,45301.25
237,83819.96
238,42455.23
239,42455.23
240,19926.36
241,20059.23
242,19153.06
243,19427.67
244,19028.03
245,19321.44
246,19153.06
247,18781.14
248,18862.97
249,19194.97
250,19258.07
251,19111.26
252,19237.01
253,19132.14
254,19882.33
255,19194.97
256,19153.06
257,20533.68
258,19882.33
259,19194.97
260,21310.15
261,21651.57
262,19491.78
263,22357.16
264,20081.49
265,21213.94
266,22512.45
267,21261.97
268,21189.98
269,21406.95
270,21553.27
271,23202.91
272,45301.25
273,21023.29
274,23230.05
275,22460.52
276,21431.24
277,21602.34
278,24853.65
279,31928.39
280,61608.8
281,26875.9
282,21023.29
283,21023.29
284,34640.03
285,67012.48
286,31206.99
287,31206.99
288,16081.01
289,16317.87
290,15143.35
291,15491.01
292,15019.26
293,15112.21
294,15050.17
295,15143.35
296,15065.65
297,14988.43
298,15268.68
299,15237.23
300,15268.68
301,15050.17
302,16352.05
303,15315.99
304,17346.5
305,16964.95
306,17163.47
307,18740.4
308,17438.93
309,18026.2
310,16047.52
311,18221.02
312,16148.25
313,17272.99
314,18801.55
315,17181.67
316,17272.99
317,17550.68
318,17457.49
319,18659.26
320,38578.92
321,17018.8
322,18578.57
323,18026.2
324,17476.08
325,17606.89
326,20193.28
327,26479.11
328,52793.59
329,23421.27
330,16840.11
331,16840.11
332,30349.31
333,60011.99
334,26842.51
335,26842.51
336,14926.99
337,15019.26
338,13870.31
339,14183.61
340,13744.46
341,13842.23
342,13730.56
343,13842.23
344,13730.56
345,13702.81
346,13814.22
347,13828.22
348,13786.27
349,13688.95
350,14805.01
351,13870.31
352,15848.37
353,15347.64
354,15652.22
355,17181.67
356,15848.37
357,16420.69
358,14835.39
359,16769.29
360,14865.85
361,15782.65
362,17272.99
363,15300.2
364,15749.92
365,16148.25
366,15947.57
367,17236.39
368,35742.86
369,15491.01
370,17181.67
371,16334.95
372,15815.47
373,16014.12
374,18618.86
375,24382.16
376,48810.25
377,22000.49
378,15143.35
379,15143.35
380,27765.84
381,56585.1
382,24093.88
383,24093.88
384,14534.84
385,14357.96
386,13307.49
387,13800.23
388,13294.1
389,13442.32
390,13320.91
391,13334.34
392,13374.71
393,13401.71
394,13374.71
395,13374.71
396,13619.93
397,13320.91
398,14416.64
399,13469.47
400,15523.09
401,14957.67
402,15268.68
403,16840.11
404,15555.25
405,16131.41
406,14241.45
407,16352.05
408,14744.46
409,15523.09
410,16947.04
411,15523.09
412,15363.49
413,16081.01
414,15587.49
415,16893.47
416,35845.82
417,15300.2
418,16964.95
419,16064.26
420,15749.92
421,15684.7
422,18378.83
423,24208.61
424,48641.14
425,21651.57
426,15284.43
427,15284.43
428,27695.87
429,56368.51
430,24498.84
431,24498.84
432,14328.73
433,14387.27
434,13401.71
435,13772.32
436,13254.0
437,13374.71
438,13214.03
439,13267.35
440,13267.35
441,13214.03
442,13401.71
443,13347.78
444,13415.23
445,13294.1
446,14372.61
447,13428.77
448,15379.36
449,14774.7
450,15112.21
451,16751.64
452,15395.25
453,16030.81
454,14226.96
455,16182.0
456,14299.57
457,15331.81
458,16982.88
459,15395.25
460,15427.09
461,15782.65
462,15603.64
463,16840.11
464,36053.13
465,15237.23
466,16698.84
467,15897.87
468,15571.36
469,15427.09
470,18339.21
471,23810.38
472,48556.95
473,21358.47
474,14926.99
475,14926.99
476,27836.08
477,55621.39
478,24093.88
479,24093.88
480,14154.79
481,14416.64
482,13200.74
483,13592.43
484,13174.2
485,13174.2
486,13108.13
487,13108.13
488,13121.31
489,13108.13
490,13214.03
491,13187.46
492,13240.66
493,13081.8
494,14183.61
495,13240.66
496,15065.65
497,14789.84
