Sensor_ID,Baseline_Resistance_Ohms
0,30309.35
1,34542.39
2,35640.36
3,35949.24
4,35949.24
5,36209.84
6,36001.13
7,36526.48
8,36473.41
9,36473.41
10,36686.43
11,36367.62
12,36686.43
13,36262.32
14,37893.76
15,36473.41
16,40568.07
17,39403.42
18,39403.42
19,41526.96
20,40756.99
21,39826.22
22,38291.07
23,41397.01
24,38463.37
25,38695.02
26,42590.57
27,40568.07
28,40380.55
29,40505.41
30,40132.67
31,40505.41
32,61109.78
33,40256.3
34,43417.48
35,41920.75
36,41526.96
37,41592.18
38,44707.67
39,57465.76
40,85352.86
41,50918.22
42,40132.67
43,40132.67
44,54787.84
45,73127.03
46,55833.13
47,55833.13
48,119906.74
49,122862.01
50,125954.73
51,122431.63
52,121579.19
53,133594.3
54,129670.22
55,136160.72
56,129670.22
57,125056.52
58,133091.78
59,129670.22
60,136160.72
61,136685.03
62,132592.78
63,128722.46
64,139364.05
65,134609.98
66,135640.13
67,137745.05
68,138820.45
69,132592.78
70,133594.3
71,134609.98
72,127787.46
73,128253.38
74,142142.66
75,138280.8
76,132097.22
77,130631.02
78,126864.97
79,132592.78
80,176056.81
81,130631.02
82,138820.45
83,137213.13
84,133091.78
85,132592.78
86,146809.88
87,174379.52
88,247485.06
89,136685.03
90,135640.13
91,135640.13
92,93048.8
93,112877.99
94,125954.73
95,125954.73
96,74678.3
97,75386.48
98,74328.61
99,75745.02
100,75386.48
101,76838.91
102,76106.58
103,76838.91
104,76654.66
105,75745.02
106,77396.36
107,76106.58
108,76106.58
109,73637.78
110,76471.19
111,73981.77
112,84035.92
113,77209.76
114,71306.41
115,76838.91
116,75208.34
117,74328.61
118,71959.17
119,75565.37
120,71306.41
121,70983.91
122,77209.76
123,78341.52
124,75745.02
125,75745.02
126,74678.3
127,75386.48
128,109291.9
129,74328.61
130,79896.98
131,79112.48
132,73981.77
133,77209.76
134,85352.86
135,109992.31
136,288853.09
137,82127.26
138,76654.66
139,76654.66
140,81508.11
141,109291.9
142,94098.91
143,94098.91
144,48810.25
145,49845.72
146,48305.81
147,48641.14
148,48641.14
149,48810.25
150,48139.58
151,48980.34
152,48980.34
153,48139.58
154,49237.32
155,48139.58
156,48980.34
157,48810.25
158,50918.22
159,48810.25
160,54176.42
161,51841.71
162,50021.84
163,50287.98
164,51284.3
165,50918.22
166,48980.34
167,52029.78
168,48725.57
169,47484.0
170,54176.42
171,51468.98
172,51284.3
173,51654.79
174,51468.98
175,52409.35
176,77396.36
177,51468.98
178,55097.93
179,54582.74
180,52890.38
181,52890.38
182,57914.87
183,79896.98
184,189679.88
185,61483.39
186,51561.75
187,51561.75
188,63810.02
189,91010.8
190,73296.59
191,73296.59
192,31040.83
193,31374.49
194,30389.34
195,30631.22
196,30150.32
197,30150.32
198,30469.65
199,30794.08
200,30712.49
201,29992.53
202,30389.34
203,30631.22
204,30550.28
205,30189.96
206,32145.38
207,30712.49
208,34445.18
209,32855.06
210,31290.57
211,28699.64
212,32320.6
213,32855.06
214,30269.48
215,32320.6
216,28480.09
217,27145.25
218,33403.16
219,31928.39
220,32276.66
221,31082.24
222,32720.19
223,32810.01
224,51284.3
225,32364.63
226,35134.67
227,33776.39
228,33403.16
229,33310.84
230,36579.68
231,50199.01
232,99101.66
233,39403.42
234,32586.16
235,32586.16
236,51935.61
237,70983.91
238,51468.98
239,51468.98
240,19707.48
241,19838.42
242,18801.55
243,19048.79
244,18740.4
245,18781.14
246,18822.0
247,18801.55
248,18699.77
249,18720.07
250,18740.4
251,18740.4
252,19069.58
253,18781.14
254,20014.81
255,19048.79
