Timestamp,Sensor ID,Resistance (Ohms)
2025-01-06 12:59:49.860,126,84129.54
2025-01-06 12:59:49.860,127,80822.37
2025-01-06 12:59:49.860,128,101358.87
2025-01-06 12:59:49.860,129,58537.25
2025-01-06 12:59:49.860,130,80822.37
2025-01-06 12:59:49.860,131,66110.3
2025-01-06 12:59:49.860,132,78490.39
2025-01-06 12:59:49.860,133,70875.0
2025-01-06 12:59:49.860,134,89567.32
2025-01-06 12:59:49.860,135,82446.43
2025-01-06 12:59:49.860,136,67829.89
2025-01-06 12:59:49.860,137,69628.85
2025-01-06 12:59:49.860,138,77001.06
2025-01-06 12:59:49.860,139,80822.37
2025-01-06 12:59:49.860,140,80031.52
2025-01-06 12:59:49.860,141,74167.68
2025-01-06 12:59:49.860,142,84129.54
2025-01-06 12:59:49.860,143,79254.32
2025-01-06 12:59:49.860,144,144621.26
2025-01-06 12:59:49.860,145,100172.87
2025-01-06 12:59:49.860,146,119475.0
2025-01-06 12:59:49.860,147,100172.87
2025-01-06 12:59:49.860,148,119475.0
2025-01-06 12:59:49.860,149,106369.39
2025-01-06 12:59:49.860,150,126296.06
2025-01-06 12:59:49.860,151,121115.51
2025-01-06 12:59:49.860,152,96761.6
2025-01-06 12:59:49.860,153,106369.39
2025-01-06 12:59:49.860,154,117875.0
2025-01-06 12:59:49.860,155,126296.06
2025-01-06 12:59:49.860,156,121115.51
2025-01-06 12:59:49.860,157,113303.57
2025-01-06 12:59:49.860,158,119475.0
2025-01-06 12:59:49.860,159,113303.57
2025-01-06 12:59:49.860,160,110433.14
2025-01-06 12:59:49.860,161,69020.04
2025-01-06 12:59:49.860,162,84129.54
2025-01-06 12:59:49.860,163,66675.0
2025-01-06 12:59:49.860,164,80031.52
2025-01-06 12:59:49.860,165,68420.46
2025-01-06 12:59:49.860,166,87686.32
2025-01-06 12:59:49.860,167,76275.01
2025-01-06 12:59:49.860,168,69628.85
2025-01-06 12:59:49.860,169,65005.44
2025-01-06 12:59:49.860,170,77739.41
2025-01-06 12:59:49.860,171,78490.39
2025-01-06 12:59:49.860,172,76275.01
2025-01-06 12:59:49.860,173,74858.6
2025-01-06 12:59:49.860,174,82446.43
2025-01-06 12:59:49.860,175,72160.72
2025-01-06 12:59:49.860,176,109047.42
2025-01-06 12:59:49.860,177,64464.93
2025-01-06 12:59:49.860,178,75560.95
2025-01-06 12:59:49.860,179,66110.3
2025-01-06 12:59:49.860,180,80822.37
2025-01-06 12:59:49.860,181,65553.83
2025-01-06 12:59:49.860,182,80822.37
2025-01-06 12:59:49.860,183,80031.52
2025-01-06 12:59:49.860,184,72160.72
2025-01-06 12:59:49.860,185,69020.04
2025-01-06 12:59:49.860,186,80031.52
2025-01-06 12:59:49.860,187,81627.21
2025-01-06 12:59:49.860,188,83280.41
2025-01-06 12:59:49.860,189,75560.95
2025-01-06 12:59:49.860,190,79254.32
2025-01-06 12:59:49.860,191,74167.68
2025-01-06 12:59:49.860,192,157100.79
2025-01-06 12:59:49.860,193,101358.87
2025-01-06 12:59:49.860,194,113303.57
2025-01-06 12:59:49.860,195,94602.28
2025-01-06 12:59:49.860,196,110433.14
2025-01-06 12:59:49.860,197,95670.92
2025-01-06 12:59:49.860,198,116314.03
2025-01-06 12:59:49.860,199,106369.39
2025-01-06 12:59:49.860,200,96761.6
2025-01-06 12:59:49.860,201,93555.0
2025-01-06 12:59:49.860,202,107693.19
2025-01-06 12:59:49.860,203,113303.57
2025-01-06 12:59:49.860,204,105075.0
2025-01-06 12:59:49.860,205,97875.0
2025-01-06 12:59:49.860,206,106369.39
2025-01-06 12:59:49.860,207,101358.87
2025-01-06 12:59:49.860,208,111851.48
2025-01-06 12:59:49.860,209,67829.89
2025-01-06 12:59:49.860,210,84994.27
2025-01-06 12:59:49.860,211,65553.83
2025-01-06 12:59:49.860,212,79254.32
2025-01-06 12:59:49.860,213,67248.14
2025-01-06 12:59:49.860,214,87686.32
2025-01-06 12:59:49.860,215,75560.95
2025-01-06 12:59:49.860,216,69020.04
2025-01-06 12:59:49.860,217,64464.93
2025-01-06 12:59:49.860,218,76275.01
2025-01-06 12:59:49.860,219,78490.39
2025-01-06 12:59:49.860,220,75560.95
2025-01-06 12:59:49.860,221,74167.68
2025-01-06 12:59:49.860,222,81627.21
2025-01-06 12:59:49.860,223,71512.8
2025-01-06 12:59:49.860,224,116314.03
2025-01-06 12:59:49.860,225,65005.44
2025-01-06 12:59:49.860,226,77739.41
2025-01-06 12:59:49.860,227,66110.3
2025-01-06 12:59:49.860,228,82446.43
2025-01-06 12:59:49.860,229,66110.3
2025-01-06 12:59:49.860,230,81627.21
2025-01-06 12:59:49.860,231,80822.37
2025-01-06 12:59:49.860,232,73487.9
2025-01-06 12:59:49.860,233,69628.85
2025-01-06 12:59:49.860,234,80031.52
2025-01-06 12:59:49.860,235,84129.54
2025-01-06 12:59:49.860,236,84129.54
2025-01-06 12:59:49.860,237,77001.06
2025-01-06 12:59:49.860,238,80031.52
2025-01-06 12:59:49.860,239,74167.68
2025-01-06 12:59:50.54,0,114790.66
2025-01-06 12:59:50.54,1,440657.62
2025-01-06 12:59:50.54,2,461147.75
2025-01-06 12:59:50.54,3,388644.25
2025-01-06 12:59:50.54,4,421875.0
2025-01-06 12:59:50.54,5,388644.25
2025-01-06 12:59:50.54,6,440657.62
2025-01-06 12:59:50.54,7,421875.0
2025-01-06 12:59:50.54,8,347392.25
2025-01-06 12:59:50.54,9,347392.25
2025-01-06 12:59:50.54,10,360160.71
2025-01-06 12:59:50.54,11,404595.0
2025-01-06 12:59:50.54,12,373875.0
2025-01-06 12:59:50.54,13,388644.25
2025-01-06 12:59:50.54,14,373875.0
2025-01-06 12:59:50.54,15,373875.0
2025-01-06 12:59:50.54,16,230991.28
2025-01-06 12:59:50.54,17,178384.07
2025-01-06 12:59:50.54,18,197235.0
2025-01-06 12:59:50.54,19,157100.79
2025-01-06 12:59:50.54,20,178384.07
2025-01-06 12:59:50.54,21,157100.79
2025-01-06 12:59:50.54,22,181875.0
2025-01-06 12:59:50.54,23,165603.81
2025-01-06 12:59:50.54,24,142345.59
2025-01-06 12:59:50.54,25,135903.17
2025-01-06 12:59:50.54,26,149382.68
2025-01-06 12:59:50.54,27,162675.01
2025-01-06 12:59:50.54,28,154446.43
2025-01-06 12:59:50.54,29,157100.79
2025-01-06 12:59:50.54,30,157100.79
2025-01-06 12:59:50.54,31,159842.2
2025-01-06 12:59:50.54,32,159842.2
2025-01-06 12:59:50.54,33,133875.0
2025-01-06 12:59:50.54,34,146965.9
2025-01-06 12:59:50.54,35,119475.0
2025-01-06 12:59:50.54,36,131902.39
2025-01-06 12:59:50.54,37,117875.0
2025-01-06 12:59:50.54,38,144621.26
2025-01-06 12:59:50.54,39,137989.28
2025-01-06 12:59:50.54,40,114790.66
2025-01-06 12:59:50.54,41,110433.14
2025-01-06 12:59:50.54,42,114790.66
2025-01-06 12:59:50.54,43,122798.08
2025-01-06 12:59:50.54,44,119475.0
2025-01-06 12:59:50.54,45,106369.39
2025-01-06 12:59:50.54,46,114790.66
2025-01-06 12:59:50.54,47,117875.0
2025-01-06 12:59:50.54,48,159842.2
2025-01-06 12:59:50.54,49,111851.48
2025-01-06 12:59:50.54,50,128115.0
2025-01-06 12:59:50.54,51,96761.6
2025-01-06 12:59:50.54,52,113303.57
2025-01-06 12:59:50.54,53,97875.0
2025-01-06 12:59:50.54,54,119475.0
2025-01-06 12:59:50.54,55,116314.03
2025-01-06 12:59:50.54,56,97875.0
2025-01-06 12:59:50.54,57,94602.28
2025-01-06 12:59:50.54,58,99011.85
2025-01-06 12:59:50.54,59,110433.14
2025-01-06 12:59:50.54,60,109047.42
2025-01-06 12:59:50.54,61,100172.87
2025-01-06 12:59:50.54,62,100172.87
2025-01-06 12:59:50.54,63,101358.87
2025-01-06 12:59:50.54,64,114790.66
2025-01-06 12:59:50.54,65,121115.51
2025-01-06 12:59:50.54,66,140135.87
2025-01-06 12:59:50.54,67,110433.14
2025-01-06 12:59:50.54,68,124524.35
2025-01-06 12:59:50.54,69,105075.0
2025-01-06 12:59:50.54,70,126296.06
2025-01-06 12:59:50.54,71,119475.0
2025-01-06 12:59:50.54,72,94602.28
2025-01-06 12:59:50.54,73,92528.46
2025-01-06 12:59:50.54,74,96761.6
2025-01-06 12:59:50.54,75,106369.39
2025-01-06 12:59:50.54,76,105075.0
