Timestamp,Sensor ID,Resistance (Ohms)
2025-01-06 14:08:52.70,0,107693.19
2025-01-06 14:08:52.70,1,324326.59
2025-01-06 14:08:52.70,2,294816.18
2025-01-06 14:08:52.70,3,277875.0
2025-01-06 14:08:52.70,4,286103.56
2025-01-06 14:08:52.70,5,262717.09
2025-01-06 14:08:52.70,6,294816.18
2025-01-06 14:08:52.70,7,324326.59
2025-01-06 14:08:52.70,8,270091.21
2025-01-06 14:08:52.70,9,270091.21
2025-01-06 14:08:52.70,10,313875.0
2025-01-06 14:08:52.70,11,313875.0
2025-01-06 14:08:52.70,12,324326.59
2025-01-06 14:08:52.70,13,324326.59
2025-01-06 14:08:52.70,14,335475.03
2025-01-06 14:08:52.70,15,286103.56
2025-01-06 14:08:52.70,16,201466.82
2025-01-06 14:08:52.70,17,154446.43
2025-01-06 14:08:52.70,18,151875.0
2025-01-06 14:08:52.70,19,133875.0
2025-01-06 14:08:52.70,20,142345.59
2025-01-06 14:08:52.70,21,128115.0
2025-01-06 14:08:52.70,22,144621.26
2025-01-06 14:08:52.70,23,140135.87
2025-01-06 14:08:52.70,24,126296.06
2025-01-06 14:08:52.70,25,122798.08
2025-01-06 14:08:52.70,26,144621.26
2025-01-06 14:08:52.70,27,142345.59
2025-01-06 14:08:52.70,28,142345.59
2025-01-06 14:08:52.70,29,144621.26
2025-01-06 14:08:52.70,30,154446.43
2025-01-06 14:08:52.70,31,140135.87
2025-01-06 14:08:52.70,32,146965.9
2025-01-06 14:08:52.70,33,137989.28
2025-01-06 14:08:52.70,34,142345.59
2025-01-06 14:08:52.70,35,128115.0
2025-01-06 14:08:52.70,36,129983.11
2025-01-06 14:08:52.70,37,121115.51
2025-01-06 14:08:52.70,38,137989.28
2025-01-06 14:08:52.70,39,142345.59
2025-01-06 14:08:52.70,40,119475.0
2025-01-06 14:08:52.70,41,117875.0
2025-01-06 14:08:52.70,42,129983.11
2025-01-06 14:08:52.70,43,126296.06
2025-01-06 14:08:52.70,44,126296.06
2025-01-06 14:08:52.70,45,114790.66
2025-01-06 14:08:52.70,46,129983.11
2025-01-06 14:08:52.70,47,116314.03
2025-01-06 14:08:52.70,48,144621.26
2025-01-06 14:08:52.70,49,102570.66
2025-01-06 14:08:52.70,50,103809.07
2025-01-06 14:08:52.70,51,87686.32
2025-01-06 14:08:52.70,52,95670.92
2025-01-06 14:08:52.70,53,86772.2
2025-01-06 14:08:52.70,54,99011.85
2025-01-06 14:08:52.70,55,105075.0
2025-01-06 14:08:52.70,56,91522.07
2025-01-06 14:08:52.70,57,89567.32
2025-01-06 14:08:52.70,58,95670.92
2025-01-06 14:08:52.70,59,101358.87
2025-01-06 14:08:52.70,60,102570.66
2025-01-06 14:08:52.70,61,92528.46
2025-01-06 14:08:52.70,62,100172.87
2025-01-06 14:08:52.70,63,93555.0
2025-01-06 14:08:52.70,64,107693.19
2025-01-06 14:08:52.70,65,105075.0
2025-01-06 14:08:52.70,66,110433.14
2025-01-06 14:08:52.70,67,97875.0
2025-01-06 14:08:52.70,68,101358.87
2025-01-06 14:08:52.70,69,91522.07
2025-01-06 14:08:52.70,70,103809.07
2025-01-06 14:08:52.70,71,106369.39
2025-01-06 14:08:52.70,72,88617.86
2025-01-06 14:08:52.70,73,88617.86
2025-01-06 14:08:52.70,74,96761.6
2025-01-06 14:08:52.70,75,99011.85
2025-01-06 14:08:52.70,76,99011.85
2025-01-06 14:08:52.70,77,90535.2
2025-01-06 14:08:52.70,78,101358.87
2025-01-06 14:08:52.70,79,82446.43
2025-01-06 14:08:52.70,80,144621.26
2025-01-06 14:08:52.70,81,100172.87
2025-01-06 14:08:52.70,82,106369.39
2025-01-06 14:08:52.70,83,91522.07
2025-01-06 14:08:52.70,84,95670.92
2025-01-06 14:08:52.70,85,86772.2
2025-01-06 14:08:52.70,86,99011.85
2025-01-06 14:08:52.70,87,102570.66
2025-01-06 14:08:52.70,88,86772.2
2025-01-06 14:08:52.70,89,79254.32
2025-01-06 14:08:52.70,90,78490.39
2025-01-06 14:08:52.70,91,80822.37
2025-01-06 14:08:52.70,92,90535.2
2025-01-06 14:08:52.70,93,90535.2
2025-01-06 14:08:52.70,94,102570.66
2025-01-06 14:08:52.70,95,89567.32
2025-01-06 14:08:52.70,96,109047.42
2025-01-06 14:08:52.70,97,77001.06
2025-01-06 14:08:52.70,98,87686.32
2025-01-06 14:08:52.70,99,74858.6
2025-01-06 14:08:52.70,100,81627.21
2025-01-06 14:08:52.70,101,81627.21
2025-01-06 14:08:52.70,102,95670.92
2025-01-06 14:08:52.70,103,97875.0
2025-01-06 14:08:52.70,104,85875.0
2025-01-06 14:08:52.70,105,87686.32
2025-01-06 14:08:52.70,106,89567.32
2025-01-06 14:08:52.70,107,92528.46
2025-01-06 14:08:52.70,108,95670.92
2025-01-06 14:08:52.70,109,91522.07
2025-01-06 14:08:52.70,110,100172.87
2025-01-06 14:08:52.70,111,84994.27
2025-01-06 14:08:52.70,112,100172.87
2025-01-06 14:08:52.70,113,53875.0
2025-01-06 14:08:52.70,114,69020.04
2025-01-06 14:08:52.70,115,61378.45
2025-01-06 14:08:52.70,116,69020.04
2025-01-06 14:08:52.70,117,64464.93
2025-01-06 14:08:52.70,118,77739.41
2025-01-06 14:08:52.70,119,77001.06
2025-01-06 14:08:52.70,120,66110.3
2025-01-06 14:08:52.70,121,68420.46
2025-01-06 14:08:52.70,122,72819.01
2025-01-06 14:08:52.70,123,74167.68
2025-01-06 14:08:52.70,124,76275.01
2025-01-06 14:08:52.70,125,71512.8
2025-01-06 14:08:52.70,126,81627.21
2025-01-06 14:08:52.70,127,72819.01
2025-01-06 14:08:52.70,128,93555.0
2025-01-06 14:08:52.70,129,53482.36
2025-01-06 14:08:52.70,130,69020.04
2025-01-06 14:08:52.70,131,61378.45
2025-01-06 14:08:52.70,132,69020.04
2025-01-06 14:08:52.70,133,64464.93
2025-01-06 14:08:52.70,134,77001.06
2025-01-06 14:08:52.70,135,76275.01
2025-01-06 14:08:52.70,136,65553.83
2025-01-06 14:08:52.70,137,68420.46
2025-01-06 14:08:52.70,138,72819.01
2025-01-06 14:08:52.70,139,74167.68
