Sensor_ID,Baseline_Resistance_Ohms
0,27349.84
1,33495.87
2,35335.6
3,34640.03
4,34640.03
5,36053.13
6,35134.67
7,35640.36
8,35640.36
9,35184.73
10,35897.47
11,35234.91
12,35184.73
13,35742.86
14,37725.46
15,36053.13
16,38120.0
17,37781.43
18,39165.01
19,40568.07
20,40505.41
21,42053.34
22,36001.13
23,40505.41
24,36901.41
25,38463.37
26,41920.75
27,38405.8
28,38463.37
29,39283.93
30,38063.23
31,39704.69
32,70663.95
33,38348.37
34,38463.37
35,40756.99
36,39283.93
37,39403.42
38,44415.61
39,49845.72
40,134609.98
41,101482.63
42,38348.37
43,38348.37
44,54787.84
45,144441.03
46,80294.42
47,80294.42
48,109291.9
49,113248.5
50,117875.0
51,118680.02
52,115134.95
53,120320.87
54,119086.36
55,120737.61
56,115134.95
57,114373.48
58,113621.23
59,120320.87
60,113621.23
61,119906.74
62,121579.19
63,119906.74
64,115134.95
65,122431.63
66,127787.46
67,123295.2
68,129670.22
69,134609.98
70,119086.36
71,132592.78
72,123295.2
73,123295.2
74,130631.02
75,127787.46
76,122431.63
77,123295.2
78,125954.73
79,133091.78
80,192647.28
81,124170.08
82,125504.14
83,128722.46
84,125954.73
85,127324.66
86,136685.03
87,155036.28
88,346048.91
89,257587.41
90,127787.46
91,127787.46
92,104288.4
93,183998.22
94,162702.02
95,162702.02
96,77209.76
97,79503.01
98,79503.01
99,78725.33
100,77961.02
101,80294.42
102,79112.48
103,79896.98
104,80294.42
105,79503.01
106,80294.42
107,79503.01
108,82754.82
109,81508.11
110,82965.91
111,77209.76
112,75386.48
113,82965.91
114,83177.96
115,77583.78
116,87167.16
117,92531.65
118,76471.19
119,87631.56
120,78725.33
121,81919.95
122,84252.88
123,82965.91
124,81919.95
125,80095.27
126,80294.42
127,85352.86
128,136160.72
129,82754.82
130,83604.98
131,86707.14
132,84035.92
133,84035.92
134,93048.8
135,102712.45
136,255849.03
137,175214.38
138,81713.57
139,81713.57
140,91010.8
141,191648.39
142,134609.98
143,134609.98
144,52504.97
145,52218.99
146,52029.78
147,52504.97
148,51100.71
149,51654.79
150,51935.61
151,51654.79
152,52409.35
153,51561.75
154,51654.79
155,51468.98
156,52409.35
157,51284.3
158,53975.16
159,51841.71
160,40883.72
161,51654.79
162,53975.16
163,48305.81
164,56803.11
165,59892.09
166,49670.62
167,57577.48
168,52890.38
169,54277.52
170,55516.03
171,54378.94
172,54176.42
173,52987.48
174,54176.42
175,56693.92
176,93571.2
177,53576.4
178,55306.31
179,56803.11
180,54787.84
181,55727.09
182,61860.94
183,68192.39
184,182175.47
185,128722.46
186,54480.68
187,54480.68
188,68192.39
189,146210.88
190,96820.16
191,96820.16
192,28191.18
193,27695.87
194,27111.36
195,27213.2
196,26809.18
197,27349.84
198,27077.54
199,27010.09
200,27010.09
201,27213.2
202,27281.39
203,27281.39
204,27213.2
205,27247.26
206,28263.01
207,26875.9
208,22643.0
209,27836.08
210,27977.33
211,22228.87
212,30309.35
213,31885.26
214,23366.42
215,30794.08
216,27281.39
217,29146.33
218,30389.34
219,29221.78
220,28958.97
221,28119.63
222,29411.68
223,30958.25
224,56260.74
225,29680.64
226,30071.27
227,31248.74
228,30110.76
229,30509.92
230,34396.74
231,38578.92
232,109992.31
233,74328.61
234,29146.33
235,29146.33
236,43277.87
237,107238.9
238,63676.8
239,63676.8
240,20928.83
241,20788.21
242,20059.23
243,20464.99
244,19838.42
245,20081.49
246,20126.11
247,20148.47
248,19664.09
249,19577.68
250,19948.42
251,19751.0
252,19882.33
253,19470.38
254,21406.95
255,19926.36
256,21286.04
257,21950.17
258,21286.04
259,21750.49
260,22987.37
261,24353.12
262,20193.28
263,23754.24
264,21166.06
265,22177.84
266,24616.31
267,22331.42
268,22357.16
269,22408.76
270,22000.49
271,23230.05
272,44198.61
273,22357.16
274,22408.76
275,23642.52
276,22880.64
277,22933.92
278,26026.81
279,30550.28
280,93571.2
281,77396.36
282,22076.26
283,22076.26
284,34060.55
285,89534.38
286,51100.71
287,51100.71
288,15603.64
289,15766.28
290,14865.85
291,15237.23
292,14805.01
293,14865.85
294,14639.21
295,14744.46
296,14699.24
297,14684.21
298,14774.7
299,14744.46
300,14926.99
301,14759.57
302,16249.76
303,15003.83
304,17364.93
305,17036.8
306,17054.83
307,18781.14
308,17606.89
309,19194.97
310,15815.47
311,18064.95
312,16064.26
313,16947.04
314,19385.09
315,17090.95
316,17163.47
317,17531.99
318,17163.47
319,17757.91
320,36001.13
321,17236.39
322,17309.7
323,18142.77
324,17531.99
325,17757.91
326,20238.23
327,23923.21
328,77209.76
329,58028.08
330,16751.64
331,16751.64
332,28958.97
333,79699.56
334,43840.75
335,43840.75
336,14534.84
337,14654.19
338,13730.56
339,14126.04
340,13510.31
341,13688.95
342,13702.81
343,13633.7
344,13619.93
345,13661.29
346,13675.12
347,13619.93
348,13675.12
349,13675.12
350,15112.21
351,13688.95
352,16131.41
353,15815.47
354,15799.05
355,17531.99
356,16593.85
357,17606.89
358,14714.3
359,17072.88
360,14865.85
361,15881.35
362,18026.2
363,15539.16
364,16014.12
365,16148.25
366,15815.47
367,16663.75
368,34252.03
369,15947.57
370,15848.37
371,16786.96
372,16317.87
373,16420.69
374,18781.14
375,22460.52
376,74678.3
377,54378.94
378,15523.09
379,15523.09
380,27591.39
381,76838.91
382,42658.5
383,42658.5
384,14241.45
385,14328.73
386,13320.91
387,13730.56
388,13214.03
389,13200.74
390,13240.66
391,13267.35
392,13227.34
393,13187.46
