Sensor_ID,Baseline_Resistance_Ohms
0,27145.25
1,34542.39
2,40194.41
3,38006.61
4,30712.49
5,39644.14
6,40380.55
7,40380.55
8,41267.73
9,40380.55
10,41920.75
11,41397.01
12,42320.58
13,42863.36
14,42863.36
15,41854.7
16,41397.01
17,42320.58
18,42186.62
19,43417.48
20,41788.82
21,42053.34
22,42455.23
23,42387.82
24,41461.9
25,41657.55
26,45831.29
27,44415.61
28,43557.83
29,43698.91
30,43840.75
31,47403.09
32,195704.14
33,44707.67
34,46061.56
35,47322.41
36,44561.25
37,45002.86
38,51376.5
39,56476.62
40,84689.81
41,62370.57
42,508356.06
43,44561.25
44,68192.39
45,235144.47
46,62242.49
47,62242.49
48,103969.71
49,109992.31
50,114373.48
51,113621.23
52,103969.71
53,114753.04
54,113621.23
55,115519.18
56,113621.23
57,112877.99
58,115905.77
59,113621.23
60,118276.26
61,119495.26
62,118680.02
63,115134.95
64,110345.59
65,115134.95
66,115905.77
67,115134.95
68,115134.95
69,115134.95
70,114373.48
71,114373.48
72,109992.31
73,110700.96
74,123295.2
75,119906.74
76,119086.36
77,116686.13
78,115905.77
79,126864.97
80,450099.75
81,120737.61
82,123295.2
83,126864.97
84,119906.74
85,119906.74
86,135640.13
87,145616.44
88,197793.8
89,130631.02
90,762705.19
91,119906.74
92,119086.36
93,376290.09
94,145026.52
95,145026.52
96,78341.52
97,79896.98
98,85352.86
99,84252.88
100,79896.98
101,86025.24
102,84909.8
103,85352.86
104,83177.96
105,83604.98
106,84909.8
107,83390.98
108,85800.06
109,85800.06
110,85800.06
111,84909.8
112,79112.48
113,84035.92
114,84035.92
115,82335.49
116,84909.8
117,85352.86
118,82544.69
119,83177.96
120,77961.02
121,78725.33
122,87167.16
123,85800.06
124,86478.77
125,85352.86
126,86251.47
127,92019.64
128,346048.91
129,89534.38
130,91512.71
131,93571.2
132,89534.38
133,89051.75
134,102094.18
135,109291.9
136,157743.84
137,102712.45
138,809075.0
139,88573.8
140,109291.9
141,365654.84
142,115905.77
143,115905.77
144,36686.43
145,36686.43
146,37558.35
147,37613.93
148,36579.68
149,37502.91
150,36901.41
151,37009.64
152,35845.82
153,36579.68
154,36105.25
155,35134.67
156,36847.48
157,36901.41
158,36157.48
159,36793.67
160,28958.97
161,35845.82
162,35134.67
163,32765.05
164,36262.32
165,36157.48
166,34252.03
167,35335.6
168,32145.38
169,31290.57
170,36901.41
171,36473.41
172,38405.8
173,36901.41
174,37893.76
175,41075.0
176,153062.25
177,38695.02
178,40442.9
179,40883.72
180,39165.01
181,39343.6
182,45907.83
183,50199.01
184,72958.16
185,51748.12
186,372678.72
187,38463.37
188,62628.1
189,229407.17
190,81919.95
191,81919.95
192,25094.26
193,24616.31
