Sensor_ID,Baseline_Resistance_Ohms
0,21455.57
1,31206.99
2,37009.64
3,32855.06
4,29526.5
5,36686.43
6,37950.12
7,37669.63
8,38063.23
9,37447.59
10,38811.68
11,37950.12
12,38870.21
13,39283.93
14,39165.01
15,38463.37
16,37613.93
17,38463.37
18,38811.68
19,39765.37
20,38405.8
21,38636.91
22,38578.92
23,39523.48
24,38578.92
25,38695.02
26,40756.99
27,40256.3
28,39403.42
29,39283.93
30,39826.22
31,41526.96
32,94632.04
33,42186.62
34,41267.73
35,40380.55
36,40505.41
37,44488.33
38,52409.35
39,48810.25
40,575017.88
41,62370.57
42,93571.2
43,41723.1
44,87167.16
45,142142.66
46,110345.59
47,110345.59
48,104608.9
49,107915.35
50,125954.73
51,120737.61
52,119086.36
53,128253.38
54,130631.02
55,127787.46
56,122862.01
57,127324.66
58,119906.74
59,128253.38
60,134609.98
61,126864.97
62,126864.97
63,126864.97
64,115134.95
65,129670.22
66,128253.38
67,125504.14
68,125954.73
69,133594.3
70,129194.73
71,132592.78
72,129194.73
73,132097.22
74,133091.78
75,135640.13
76,134609.98
77,129670.22
78,135640.13
79,138280.8
80,288853.09
81,137745.05
82,141018.91
83,136685.03
84,136685.03
85,138820.45
86,168739.63
87,162702.02
88,151772.23
89,151772.23
90,284551.28
91,143859.97
92,138820.45
93,297844.91
94,297844.91
95,297844.91
96,76654.66
97,81919.95
98,89051.75
99,84689.81
100,83604.98
101,90267.15
102,88812.2
103,87631.56
104,84035.92
105,85352.86
106,85130.81
107,84252.88
108,88573.8
109,89292.48
110,88573.8
111,86251.47
112,77023.94
113,87631.56
114,87167.16
115,82127.26
116,84035.92
117,87167.16
118,86707.14
119,89292.48
120,84909.8
121,85352.86
122,85130.81
123,88336.55
124,86251.47
125,82754.82
126,88573.8
127,89051.75
128,205453.95
129,89534.38
130,90761.7
131,88573.8
132,89534.38
133,93571.2
134,113621.23
135,103337.61
136,94632.04
137,94632.04
138,193656.09
139,89051.75
140,126864.97
141,241163.34
142,213700.14
143,213700.14
144,46843.01
145,47484.0
146,48725.57
147,48810.25
148,47322.41
149,49670.62
150,48305.81
151,47081.7
152,45754.95
153,47001.92
154,46216.13
155,44854.87
156,48641.14
157,47646.51
158,47001.92
159,46922.36
160,30550.28
161,46527.84
162,47161.71
163,41657.55
164,48895.18
165,48641.14
166,45907.83
167,49151.41
168,46527.84
169,47403.09
170,47646.51
171,48305.81
172,47484.0
173,47161.71
174,48473.0
175,50021.84
176,120320.87
177,51100.71
178,51009.33
179,49933.65
180,48810.25
181,52987.48
182,63943.71
183,59416.6
184,696081.88
185,66292.91
186,110700.96
187,49933.65
188,102402.48
189,165668.98
190,126864.97
191,126864.97
192,29680.64
193,30110.76
194,30389.34
195,30631.22
196,29449.88
197,30110.76
198,29146.33
199,29449.88
200,27765.84
201,28921.71
202,28083.96
203,27349.84
204,29146.33
205,28847.41
206,28847.41
207,28996.3
208,20905.3
209,28371.24
210,28299.01
211,20556.65
212,29564.92
213,29992.53
214,26283.89
215,29992.53
216,28335.09
217,29992.53
218,30550.28
219,30389.34
220,30349.31
221,29914.1
222,31206.99
223,31713.61
224,79896.98
225,31971.61
226,32630.74
227,31290.57
228,31040.83
229,34542.39
230,41788.82
231,38405.8
232,435092.38
233,43277.87
234,78341.52
235,31290.57
236,76471.19
237,119906.74
238,89534.38
239,89534.38
240,24266.27
241,23894.93
242,24586.87
243,24913.49
244,24266.27
245,24179.86
246,23698.29
247,23726.24
248,20533.68
249,23366.42
250,21602.34
251,20556.65
252,23311.73
253,23257.23
254,23670.38
255,22987.37
256,20648.86
257,23311.73
258,22880.64
259,19363.84
260,24208.61
261,24266.27
262,23202.91
263,24853.65
264,23642.52
265,24151.15
266,25836.37
267,24704.93
268,24794.01
269,24498.84
270,24823.81
271,25461.45
272,65307.78
273,26187.06
274,26610.43
275,25154.93
276,24913.49
277,28191.18
278,34348.4
279,31971.61
280,339960.47
281,40071.08
282,65169.12
283,25585.55
284,66292.91
285,103337.61
286,76471.19
287,76471.19
288,28884.52
289,28335.09
290,28407.46
291,28847.41
292,27695.87
293,28299.01
294,26511.85
295,25647.93
296,22643.0
297,25647.93
298,26544.65
299,25647.93
300,27247.26
301,27179.19
302,27591.39
303,26709.53
304,27556.69
305,27384.16
306,27906.57
307,28191.18
308,28335.09
309,28553.0
310,27247.26
311,28773.39
312,26875.9
313,28263.01
314,30150.32
315,27145.25
316,28699.64
317,27765.84
318,28516.51
319,28958.97
320,73809.42
321,30150.32
322,30269.48
323,29146.33
324,28884.52
325,31756.39
326,39403.42
327,35794.29
328,387544.88
329,46684.98
330,72958.16
331,28996.3
332,76106.58
333,114373.48
334,81919.95
335,81919.95
336,24266.27
337,23923.21
338,24065.32
339,24498.84
340,23148.76
341,23810.38
342,21900.02
343,22025.71
344,20928.83
345,21310.15
346,23202.91
347,22721.83
348,22305.72
349,23257.23
350,21750.49
351,21213.94
352,23421.27
353,22827.54
354,23923.21
355,24151.15
356,23698.29
357,24586.87
358,23366.42
359,24616.31
360,20464.99
361,23670.38
